run_id,timestamp,district,url,status_code,schema_ok,record_count,file_size_kb,result,error,file_written,elapsed_sec
20260103050633,2026-01-03T05:06:54.824318,bids_city_clerk,https://services5.arcgis.com/7nsPwEMP38bSkCjy/arcgis/rest/services/Business_Improvement_Districts/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,42,1242.03,success,,True,9.12
20260103050633,2026-01-03T05:07:07.083922,city_council,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/13/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,15,3234.22,success,,True,12.26
20260103050633,2026-01-03T05:07:25.734639,congressional,https://arcgis.gis.lacounty.gov/arcgis/rest/services/LACounty_Dynamic/Political_Boundaries/MapServer/2/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,18,6983.0,success,,True,18.65
20260103050633,2026-01-03T05:07:34.334825,neighborhood_council,https://services5.arcgis.com/7nsPwEMP38bSkCjy/arcgis/rest/services/Neighborhood_Council_Boundaries_(2018)/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,99,1056.83,success,,True,8.6
20260103050633,2026-01-03T05:07:44.202362,senate,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/23/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,6,1775.58,success,,True,9.86
20260103050633,2026-01-03T05:07:52.692908,supervisors,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/4/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,5,1249.17,success,,True,8.49
20260103052723,2026-01-03T05:27:32.498414,assembly,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/2/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,13,2042.28,success,,True,9.0
20260103052723,2026-01-03T05:27:40.342712,bids_city_clerk,https://services5.arcgis.com/7nsPwEMP38bSkCjy/arcgis/rest/services/Business_Improvement_Districts/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,42,1242.03,success,,True,7.84
20260103052723,2026-01-03T05:27:51.144852,city_council,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/13/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,15,3234.22,success,,True,10.8
20260103052723,2026-01-03T05:28:07.357951,congressional,https://arcgis.gis.lacounty.gov/arcgis/rest/services/LACounty_Dynamic/Political_Boundaries/MapServer/2/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,18,6983.0,success,,True,16.21
20260103052723,2026-01-03T05:28:15.290641,neighborhood_council,https://services5.arcgis.com/7nsPwEMP38bSkCjy/arcgis/rest/services/Neighborhood_Council_Boundaries_(2018)/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,99,1056.83,success,,True,7.93
20260103052723,2026-01-03T05:28:23.789106,senate,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/23/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,6,1775.58,success,,True,8.5
20260103052723,2026-01-03T05:28:31.538206,supervisors,https://maps.lacity.org/lahub/rest/services/Boundaries/MapServer/4/query?where=1%3D1&outFields=*&outSR=4326&f=json,200,True,5,1249.17,success,,True,7.75
